cell,markers
small intestine undifferentiated cells,"['TSPAN8', 'SLC12A2', 'EPCAM', 'EPHB3', 'EPHB2', 'FGFRL1', 'FGFR4', 'CACNA2D2', 'KCNE3', 'PCDH20', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'GP5', 'PCDHGB4', 'CDSN', 'PCDHGB1', 'FLG2', 'UGT1A9', 'TLR9', 'C4A', 'TNFSF18', 'SLC6A2', 'HTR1D', 'SLC45A2', 'ARSF', 'NTSR1', 'DBH', 'PCDHGB5', 'INHBE', 'SIGLEC12', 'CACNG6', 'CDH15', 'PCDHGA9', 'COL2A1', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'CEACAM8', 'FLRT1', 'IL1RL2', 'ZP4', 'SLC26A5', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDHA10', 'KIR3DL1', 'PCDHGA8', 'IGSF1', 'ELFN2', 'UNC5A', 'ALPP', 'CELSR3', 'IL17RB', 'PCDHGA12', 'KIR2DL3', 'SCN2B', 'TMPRSS5', 'TMEM26', 'AGTR2', 'LRRC15', 'MGAT5B', 'IGLON5', 'PCDHGB7', 'ULBP3', 'NTRK1', 'ADAMTS15', 'DISP2', 'TLL2', 'ELFN1', 'TYR', 'CRLF2', 'ICAM5', 'ADORA1', 'VSTM1', 'SLC29A2', 'RTN4R', 'EFNB3', 'TNFRSF8', 'SLC6A11', 'GPR39', 'PDCD1', 'SCNN1D', 'SEMA4G', 'SLC22A16', 'PRG2', 'LRFN1', 'CRB2', 'TSHR', 'SMO']"
thymus fibroblasts,"['APOD', 'DCN', 'MFAP5', 'FBLN2', 'LUM', 'SERPINF1', 'COL6A3', 'LAMA2', 'COL6A1', 'COL6A2', 'SCARA5', 'LRP1', 'PRELP', 'SERPING1', 'CRLF1', 'FBN1', 'ABI3BP', 'FGFR1', 'OLFML3', 'MPZ', 'LAMB1', 'PI16', 'ABCA8', 'PDGFRA', 'PTPRS', 'WNT11', 'MXRA8', 'CDH19', 'DDR2', 'THBS2', 'SLC19A2', 'FSTL1', 'ENTPD2', 'LAMC1', 'NPR1', 'CNTFR', 'PCDHGC3', 'PCDH18', 'LOX', 'LRRN4CL', 'CPZ', 'SERPINA3', 'SMO', 'PCDHGB4', 'PCDHA11', 'TRHR', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHGB1', 'EPX', 'PCDHA6', 'TPTE', 'C4A', 'HTR1D', 'TMEFF1', 'FLG2', 'CDSN', 'UGT1A9', 'IL17D', 'DBH', 'TNFSF18', 'GP5', 'SLC45A2', 'ARSF', 'PCDHGA9', 'SLC6A2', 'NTSR1', 'INHBE', 'TNXB', 'SLC26A5', 'PCDHGB5', 'CACNG6', 'SIGLEC12', 'PCDH20', 'CTSK', 'IGSF1', 'SLITRK3', 'TLR9', 'TMEM132E', 'FLRT1', 'CEACAM8', 'PCDHA10', 'ZP4', 'ELFN2', 'PCDHGA8', 'PLXNB3', 'PLA2G3', 'PCDHGA12', 'TMPRSS5', 'PCDHGB7', 'NTRK1', 'SCN2B', 'ELANE', 'KIR3DL1', 'CDH15', 'ADAMTS15']"
brain inhibitory neurons,"['CNTNAP2', 'SGCZ', 'ROBO1', 'CDH13', 'THSD7A', 'SLIT2', 'SDK1', 'OPCML', 'TRHDE', 'CACNA2D1', 'LRP1B', 'NCAM2', 'NLGN1', 'CDH9', 'NTNG1', 'LSAMP', 'PCDH7', 'CADM2', 'PTPRM', 'GRIA2', 'NEGR1', 'SLC44A5', 'KIT', 'SLC8A1', 'NTRK2', 'CHSY3', 'DNER', 'TMEM132B', 'FRAS1', 'SGCD', 'SLC9A9', 'EPHA3', 'UNC5C', 'CDH8', 'FBN2', 'CNTN3', 'RYR3', 'SLC2A13', 'PLXNA4', 'SERPINI1', 'FLRT2', 'ADAM22', 'SORCS1', 'NELL1', 'SCN2A', 'PTPRG', 'LRRC8B', 'GPC5', 'RERG', 'CHL1', 'CDH2', 'GRIK3', 'GABRB3', 'FAT3', 'GRID1', 'CNTN1', 'NAV2', 'EFNA5', 'CDH10', 'TRPC6', 'EPHA5', 'ABI3BP', 'JAM2', 'ROR2', 'FLT3', 'CDH6', 'NTRK3', 'SV2A', 'KCNA3', 'SLITRK4', 'SULF1', 'ATP1A3', 'NLGN4X', 'KITLG', 'FAT4', 'GPR176', 'ADAM12', 'ST8SIA4', 'CDH4', 'SLC6A11', 'PCDH19', 'ANO5', 'GPR155', 'FREM2', 'COL12A1', 'EGFR', 'EPHB1', 'SLC12A5', 'PTPRS', 'ELFN1', 'ANGPT1', 'CNNM2', 'NPR3', 'ROR1', 'GABRA2', 'SLC9A7', 'UNC5B', 'CDON', 'CACNA2D2']"
lung granulocytes,"['AREG', 'KIT', 'CD69', 'SIGLEC6', 'ATP6V0A2', 'GPR65', 'KCNH2', 'NTRK1', 'HS6ST1', 'CD33', 'P2RX1', 'KIAA1549', 'CD84', 'CRLF2', 'CD22', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA11', 'TRHR', 'PDCD1LG2', 'PCDHA6', 'TPTE', 'TMEFF1', 'GP5', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'UGT1A9', 'CDSN', 'FLG2', 'TLR9', 'C4A', 'SLC6A2', 'SLC45A2', 'ARSF', 'TNFSF18', 'NTSR1', 'PCDHGB5', 'SIGLEC12', 'INHBE', 'PCDHGA9', 'TMEM132E', 'PCDH20', 'DBH', 'PCDHGA8', 'SLITRK3', 'ZP4', 'FLRT1', 'CPZ', 'PLXNB3', 'IL5RA', 'IGSF1', 'PTPRQ', 'CEACAM8', 'SLC26A5', 'UNC5A', 'COL2A1', 'CELSR3', 'SCN2B', 'PCDHA10', 'PCDHGA12', 'LRRC15', 'TLL2', 'TMEM26', 'TMPRSS5', 'CD200R1', 'RET', 'MGAT5B', 'IGLON5', 'TYR', 'ELFN2', 'KIR3DL1', 'SCNN1D', 'TMEM63C', 'PRG2', 'GNPTAB', 'IL1RL2', 'SLC6A11', 'CACNG6', 'KIR2DL3', 'PLA2G3', 'PCDHGB7', 'TSHR', 'ATG9A', 'ELFN1', 'HEPACAM', 'SLC22A16', 'CDH15', 'CHRNA3', 'ULBP3', 'LRFN1', 'NXPH4', 'GRIK3', 'DISP2', 'VSTM1']"
fallopian tube macrophages,"['THBS1', 'PLAUR', 'HLA-DRA', 'SERPINB2', 'HLA-DPA1', 'OLR1', 'VCAN', 'HLA-DPB1', 'PTGS2', 'CD83', 'HLA-DRB1', 'CD14', 'CYBB', 'MRC1', 'CD163', 'HLA-DQB1', 'FCGR2A', 'F13A1', 'SLC15A3', 'MSR1', 'FCGR3A', 'DMXL2', 'ITGAX', 'HLA-DQA2', 'STAB1', 'EMILIN2', 'PILRA', 'LILRA5', 'CD86', 'FGL2', 'TLR2', 'LILRB1', 'SEMA6B', 'LGMN', 'GPR132', 'FCGR1A', 'CPVL', 'PTGER2', 'PLTP', 'LILRA1', 'CLEC12A', 'SIGLEC1', 'FCGR2B', 'IL10RA', 'TFRC', 'PLD4', 'OSCAR', 'CD4', 'CHST7', 'FCAR', 'SIGLEC7', 'TTYH3', 'SIGLEC10', 'VSTM1', 'CD33', 'LRRC25', 'SIGLEC9', 'CD1D', 'SIGLEC12', 'SLC2A5', 'CR1', 'LAIR1', 'IGLON5', 'TNFRSF8', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'TNFSF18', 'ITGB2', 'EPX', 'TRHR', 'PCDHA11', 'PCDHA6', 'TPTE', 'NTSR1', 'IL1RL2', 'HTR1D', 'GP5', 'TMEFF1', 'FLG2', 'PCDHGB1', 'UGT1A9', 'PCDHGB4', 'TMEM104', 'TLR9', 'CDSN', 'ARSF', 'TPP1', 'SLC45A2', 'SLC6A2', 'C4A', 'INHBE', 'PCDH20', 'TMEM132E', 'DBH', 'ZP4', 'TTYH2']"
salivary gland salivary duct cells,"['ITGB4', 'LAMB3', 'MUC16', 'ITGA2', 'GALNT5', 'MET', 'LOXL4', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA6', 'EPX', 'TRHR', 'PCDHA11', 'TMEFF1', 'TPTE', 'MUC4', 'SLITRK6', 'HTR1D', 'CDSN', 'FLG2', 'PCDHGB4', 'UGT1A9', 'PCDHGB1', 'GP5', 'TLR9', 'C4A', 'TNFSF18', 'ARSF', 'SLC6A2', 'SLC45A2', 'DBH', 'PCDH20', 'CACNG6', 'INHBE', 'EFNB3', 'NTSR1', 'SIGLEC12', 'CEACAM8', 'TMEM132E', 'PTPRQ', 'FLRT1', 'PLA2G3', 'SLITRK3', 'ZP4', 'PCDHGB5', 'CPZ', 'PCDHGA8', 'PLXNB3', 'KIR3DL1', 'IGSF1', 'ELFN2', 'UNC5A', 'ALPP', 'PCDHGA9', 'COL2A1', 'KIR2DL3', 'CDH3', 'AGTR2', 'TMEM26', 'PCDHA10', 'MGAT5B', 'CELSR3', 'TLL2', 'LRRC15', 'SCN2B', 'TMEM63C', 'SLC26A5', 'IGLON5', 'TYR', 'PCDHGA12', 'NTRK1', 'CRLF2', 'CDH15', 'VSTM1', 'SLC6A11', 'ELFN1', 'SCNN1D', 'PRG2', 'IL1RL2', 'NXPH4', 'SLC22A16', 'PCDHGB7', 'CD1B', 'ULBP3', 'GPR39', 'TNFRSF8', 'RTN4R', 'HEPACAM', 'CHRNA3', 'ATG9A', 'ADORA1', 'SLC29A4', 'COL7A1', 'FREM2', 'KCNK17', 'RAET1G']"
kidney macrophages,"['IFI30', 'PSAP', 'CD14', 'LRRC25', 'CLEC12A', 'LILRA5', 'PILRA', 'FCGR3A', 'FCGR1A', 'LILRA1', 'CD86', 'LILRB1', 'SIGLEC9', 'OSCAR', 'TNFRSF8', 'CD33', 'ITGB2', 'CLEC5A', 'CPVL', 'SIGLEC12', 'SIGLEC7', 'CYBB', 'KCNE3', 'SIRPB1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'CDSN', 'PCDHA6', 'TRHR', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'GP5', 'PCDHGB1', 'PTGIR', 'FLG2', 'TLR9', 'TNFSF18', 'C4A', 'SLC6A2', 'SLC45A2', 'NTSR1', 'CD1D', 'PCDHGB5', 'DBH', 'CACNG6', 'INHBE', 'PCDH20', 'PCDHGA9', 'SLITRK3', 'PTPRQ', 'CEACAM8', 'VSTM1', 'ZP4', 'SLC26A5', 'FLRT1', 'TLR1', 'CPZ', 'PLXNB3', 'PLA2G3', 'PCDHA10', 'KIR3DL1', 'UNC5A', 'ALPP', 'IGSF1', 'PCDHGA8', 'TLL2', 'SCN2B', 'PCDHGA12', 'COL2A1', 'CELSR3', 'ARSF', 'AGTR2', 'FCAR', 'LRRC15', 'MGAT5B', 'TMEM26', 'TMEM132E', 'ELFN2', 'TMPRSS5', 'CD101', 'IGLON5', 'IL1RL2', 'CD80', 'KIR2DL3', 'ICAM5', 'CDH15', 'PCDHGB7', 'SLC22A16', 'NTRK1', 'CD1B', 'SCNN1D', 'MPO']"
tongue smooth muscle cells,"['APOD', 'APCDD1', 'PRELP', 'TNC', 'THBS2', 'CFH', 'WNT5A', 'COL6A3', 'CRLF1', 'LAMA2', 'GGT5', 'COL12A1', 'PCDH18', 'DCN', 'LAMB1', 'ANGPTL1', 'CTSK', 'DDR2', 'LEPR', 'CNTFR', 'OLFML3', 'LRRN4CL', 'EDNRA', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'TRHR', 'MRGPRF', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'PCDHA6', 'SCARF2', 'CDH15', 'TPTE', 'TMEFF1', 'PCDHGB1', 'PCDHGB4', 'HTR1D', 'PCDHGB5', 'UGT1A9', 'GP5', 'C4A', 'TLR9', 'PCDHGA9', 'DBH', 'CDSN', 'SLC45A2', 'NTRK3', 'TNFSF18', 'SLC6A2', 'NTSR1', 'INHBE', 'LRRC15', 'PCDH20', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'PCDHGA8', 'CEACAM8', 'PCDHA10', 'CACNG6', 'FLRT1', 'ZP4', 'CPZ', 'PCDHGB7', 'FLG2', 'PLXNB3', 'SLC26A5', 'SIGLEC12', 'KIR3DL1', 'LRRC4B', 'SCN2B', 'IGSF1', 'TMEM200B', 'UNC5A', 'TMEM26', 'PCDHGA12', 'ALPP', 'KIR2DL3', 'TMPRSS5', 'CELSR3', 'AGTR2', 'COL2A1', 'SUSD5', 'MGAT5B', 'ELFN2', 'TYR', 'SLC2A4', 'ARSF', 'IGLON5', 'CNTNAP1', 'TLL2', 'GPR176', 'TRPC6', 'ADORA1', 'SCN4B', 'ICAM5']"
pbmc platelets,"['TAGLN2', 'CLU', 'TUBA4A', 'CTSA', 'F13A1', 'CLEC1B', 'ITGB3', 'ITGA2B', 'ACTN1', 'TBXA2R', 'ESAM', 'CD226', 'JAM3', 'ICAM2', 'P2RX1', 'SELP', 'TGFB1', 'MFAP3L', 'F2RL3', 'ABCC4', 'LPAR5', 'PTGIR', 'TSPAN9', 'ANO6', 'ATL1', 'TSPAN33', 'TMEM104', 'LTBP1', 'PEAR1', 'PANX1', 'ITGB5', 'F11R', 'TSPAN18', 'SUSD1', 'SIGLEC12', 'SLC9A9', 'SUCNR1', 'CLCN6', 'PTPRJ', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'EPX', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'CDSN', 'FLG2', 'UGT1A9', 'GP5', 'TLR9', 'C4A', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'ARSF', 'PCDHGB5', 'DBH', 'INHBE', 'CACNG6', 'PCDH20', 'PCDHGA9', 'NTSR1', 'SLITRK3', 'PTPRQ', 'TMEM132E', 'CEACAM8', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLA2G3', 'PLXNB3', 'PCDHA10', 'ELFN2', 'BDNF', 'UNC5A', 'IGSF1', 'PCDHGA8', 'SCN2B', 'PCDHGA12', 'COL2A1', 'CELSR3', 'TMEM26', 'AGTR2', 'KIR3DL1', 'LRRC15', 'ALPP', 'MGAT5B', 'TLL2', 'TMPRSS5', 'ADRA2A']"
pbmc macrophages,"['VCAN', 'CYBB', 'FGL2', 'CLEC12A', 'PLBD1', 'EVI2A', 'BST1', 'IL17RA', 'CD302', 'ITGAM', 'KCNE3', 'DMXL2', 'OSCAR', 'VNN2', 'TLR4', 'SIRPB1', 'CD33', 'LILRA1', 'TLR2', 'CD1D', 'PTAFR', 'LRRC25', 'VSTM1', 'FCGR1A', 'F5', 'NTSR1', 'LILRA5', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'PCDHA6', 'TRHR', 'EPX', 'TPTE', 'TMEFF1', 'PCDHGB4', 'PCDHGB1', 'HTR1D', 'CDSN', 'FLG2', 'UGT1A9', 'GP5', 'TLR9', 'C4A', 'TNFSF18', 'SLC45A2', 'SLC6A2', 'ARSF', 'PCDHGB5', 'DBH', 'INHBE', 'CACNG6', 'PCDH20', 'RNF130', 'PCDHGA9', 'SLITRK3', 'PTPRQ', 'TMEM132E', 'CEACAM8', 'SIGLEC9', 'FLRT1', 'ZP4', 'SLC26A5', 'CPZ', 'PLA2G3', 'PLXNB3', 'SIGLEC12', 'PCDHA10', 'CD101', 'ELFN2', 'UNC5A', 'IGSF1', 'PCDHGA8', 'CELSR3', 'SCN2B', 'PCDHGA12', 'SLC22A16', 'COL2A1', 'TMEM26', 'AGTR2', 'KIR3DL1', 'LRRC15', 'ALPP', 'TNFRSF8', 'MGAT5B', 'TLL2', 'TMPRSS5', 'IGLON5', 'NTRK1', 'CDH15', 'PCDHGB7', 'ICAM5', 'TMEM63C', 'ELFN1', 'ADORA1', 'TYR']"
liver t-cells,"['KLRB1', 'PRF1', 'CD7', 'KLRF1', 'CD3D', 'GZMH', 'KLRC1', 'TRAC', 'IL2RB', 'CD2', 'CD160', 'KLRG1', 'TMIGD2', 'TRBC1', 'CD3G', 'FCGR3A', 'S1PR5', 'FCRL6', 'TIGIT', 'P2RY11', 'CD6', 'NCR3', 'CD40LG', 'SIGLEC7', 'IL2RG', 'KIR2DS4', 'SIRPG', 'CD244', 'PDCD1', 'PTGER2', 'ITGAL', 'NMUR1', 'GPR65', 'KIR2DL3', 'CD28', 'KIR3DL1', 'SLAMF6', 'SLCO4C1', 'ADAM8', 'CD5', 'TNFRSF25', 'ELANE', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'SLC45A2', 'TPTE', 'TMEFF1', 'PCDHGB4', 'GP5', 'ULBP3', 'PCDHGB1', 'LRFN1', 'TLR9', 'TNFRSF9', 'CDSN', 'SLC6A2', 'FLG2', 'TNFSF18', 'CXCR1', 'PCDHGB5', 'ARSF', 'HTR1D', 'CACNG6', 'PCDHGA9', 'PCDH20', 'UGT1A9', 'CEACAM8', 'FLRT1', 'PTPRQ', 'ZP4', 'SIGLEC12', 'CPZ', 'NTSR1', 'PLXNB3', 'PLA2G3', 'SLITRK3', 'PCDHA10', 'UNC5A', 'ALPP', 'ELFN2', 'TMEM132E', 'CELSR3', 'DBH', 'SCN2B', 'PCDHGA8', 'COL2A1', 'TLL2', 'AGTR2', 'CNR2', 'TMPRSS5', 'PCDHGA12', 'IGSF1']"
salivary gland serous glandular cells,"['APOD', 'LTF', 'IL1R2', 'FCGR3B', 'FOLR1', 'SORL1', 'VNN2', 'IL7R', 'DNER', 'RNF149', 'COL6A3', 'LAMB1', 'CR1', 'TLR2', 'CRLF1', 'ALPL', 'MCEMP1', 'FCGR2A', 'PLA2R1', 'LAMA2', 'CXCR1', 'IL18R1', 'PTGS2', 'MME', 'FCAR', 'SLC12A2', 'VNN1', 'SIRPB1', 'DPP4', 'IL17RA', 'SELL', 'PLXNC1', 'WNT5A', 'PDGFRA', 'OLFML2A', 'CSF2RB', 'KLRC1', 'GFRA1', 'ABCA8', 'TLR1', 'F5', 'TMPRSS5', 'SELPLG', 'AGTR1', 'LRP2', 'RET', 'FNDC5', 'SLAMF6', 'IL1RAP', 'ITGAM', 'SLC22A4', 'CD226', 'SCN7A', 'TNFRSF11A', 'CHST6', 'ITGAX', 'PTPRC', 'S1PR4', 'SLITRK6', 'LRRC25', 'TLR4', 'FCGR1A', 'LILRA5', 'SLC26A5', 'SLC12A6', 'CLEC12A', 'SLCO4C1', 'NTSR1', 'PPM1L', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHA11', 'PCDHA6', 'NTN3', 'EPX', 'PCDHGC5', 'GGT7', 'SERPINA3', 'TMEFF1', 'TRHR', 'SLC45A2', 'PCDHGB4', 'TPTE', 'PCDHGB1', 'HTR1D', 'CDSN', 'FLG2', 'GP5', 'TLL2', 'UGT1A9', 'TLR9', 'SLC9A1', 'PCDHGA9', 'C4A', 'TNFSF18', 'ARSF', 'DBH', 'SLC6A2']"
skeletal muscle macrophages,"['AREG', 'HLA-DRA', 'VCAN', 'THBS1', 'PLAUR', 'HLA-DPB1', 'HLA-DPA1', 'CYBB', 'CPVL', 'ITGAX', 'MRC1', 'SERPINB2', 'CD14', 'HLA-DRB5', 'HLA-DQA1', 'IFI30', 'F13A1', 'CD1C', 'CLEC12A', 'TLR2', 'PLBD1', 'MCEMP1', 'LILRA5', 'FCGR2B', 'OLR1', 'LGMN', 'FCAR', 'PILRA', 'DMXL2', 'FGL2', 'VSTM1', 'ITGAM', 'VNN2', 'ITGB2', 'OSCAR', 'VNN1', 'BST1', 'GFRA2', 'EMILIN2', 'MSR1', 'CD33', 'SIRPB1', 'LILRA1', 'CD1D', 'SIGLEC1', 'IL1RL2', 'KCNE3', 'LRRC25', 'CR1', 'LILRB1', 'CD86', 'FLT3', 'TSPAN33', 'CD200R1', 'F5', 'SUCNR1', 'NTSR1', 'SIGLEC9', 'IL1RAP', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'CD101', 'EPX', 'TMEM132E', 'PCDHA11', 'PCDHA6', 'PCDHGC5', 'TLR4', 'TRHR', 'PTAFR', 'TPTE', 'TMEFF1', 'HLA-DQB2', 'PCDHGB4', 'HTR1D', 'CDSN', 'GP5', 'FLG2', 'UGT1A9', 'PCDHGB1', 'TNFSF18', 'TLR9', 'C4A', 'SIGLEC12', 'SLC45A2', 'ARSF', 'DBH', 'INHBE', 'PCDH20', 'SLC26A5', 'SLC6A2', 'TNFRSF8', 'PCDHGB5', 'CEACAM8', 'ZP4', 'FLRT1', 'PLXNB3']"
ovary ovarian stromal cells,"['COL1A1', 'COL1A2', 'SERPINE2', 'BST2', 'OGN', 'PDGFRA', 'EMILIN1', 'CDH11', 'COL6A1', 'ABCA8', 'OLFML3', 'ISLR', 'ANGPTL1', 'NID2', 'TYRO3', 'COL12A1', 'GLT8D2', 'C4BPB', 'FKBP7', 'CPZ', 'CHST7', 'COL5A1', 'SMO', 'PCDHGA8', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHA6', 'PCDHGC5', 'EPX', 'PCDHA11', 'TRHR', 'TPTE', 'EFNB3', 'TMEFF1', 'PCDHGB1', 'FLG2', 'GP5', 'CDSN', 'HTR1D', 'UGT1A9', 'C4A', 'TLR9', 'PCDHGA9', 'SLC45A2', 'NTSR1', 'PCDHGB4', 'TNFSF18', 'PCDHA10', 'ARSF', 'PCDHGB5', 'SLC6A2', 'INHBE', 'SIGLEC12', 'PCDH20', 'CACNG6', 'PTPRQ', 'SLITRK3', 'CEACAM8', 'FLRT1', 'IGLON5', 'PLXNB3', 'PLA2G3', 'SCN2B', 'KIR3DL1', 'IGSF1', 'TMEM132E', 'SLC26A5', 'ELFN2', 'ALPP', 'PCDHGA12', 'CELSR3', 'IGDCC4', 'KIR2DL3', 'TLL2', 'TMPRSS5', 'AGTR2', 'UNC5A', 'TMEM26', 'TMEM200B', 'IL1RL2', 'PCDHGB7', 'NTRK1', 'COL2A1', 'CDH15', 'ICAM5', 'ELFN1', 'CRLF2', 'TYR', 'IL17RD', 'CLCN2', 'ULBP3', 'TMEM63C', 'FAM171A2', 'SCNN1D', 'TNFRSF8', 'ADORA1', 'VSTM1']"
tongue suprabasal keratinocytes,"['LYPD3', 'DSC2', 'KRT1', 'TACSTD2', 'EMP1', 'CLCA2', 'TUBA4A', 'MPZL2', 'ELOVL4', 'RAET1G', 'F3', 'EPHA1', 'LTB4R', 'LY6K', 'PROM2', 'PLA2G3', 'FLG2', 'TYRO3', 'LPAR5', 'PCDH1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'PCDHGC5', 'NTN3', 'PCDHA11', 'EPX', 'PCDHA6', 'TRHR', 'TPTE', 'MDGA1', 'TMEFF1', 'PCDHGB4', 'CDSN', 'HTR1D', 'GP5', 'PCDHGB1', 'UGT1A9', 'TLR9', 'C4A', 'SLC6A2', 'SLC45A2', 'TNFSF18', 'PCDHGB5', 'NTSR1', 'DBH', 'INHBE', 'FAM171A2', 'PCDH20', 'PCDHGA9', 'ARSF', 'SLITRK3', 'TMEM132E', 'PTPRQ', 'PCDHGA12', 'CEACAM8', 'CACNG6', 'IL1RL2', 'FLRT1', 'ZP4', 'TMEM63C', 'CPZ', 'PLXNB3', 'SLC26A5', 'PCDHGA8', 'COL2A1', 'SIGLEC12', 'PCDHA10', 'KIR3DL1', 'IGSF3', 'ULBP3', 'IGSF1', 'UNC5A', 'CELSR2', 'SLC6A9', 'ALPP', 'KIR2DL3', 'BDNF', 'SLC6A11', 'AGTR2', 'SCN2B', 'TMEM26', 'TMPRSS5', 'CELSR3', 'TLL2', 'MGAT5B', 'LRRC15', 'TYR', 'IGLON5', 'ELFN2', 'RTN4R', 'PCDHGB7', 'VSTM1', 'CDH15', 'ADORA1', 'ELFN1', 'SCNN1D', 'SLC22A16', 'ATG9A']"
esophagus t-cells,"['CD3D', 'CD3G', 'KLRC1', 'GPR174', 'CD7', 'CD96', 'CD2', 'CD69', 'CD40LG', 'CD5', 'PDCD1', 'CXCR3', 'KCNA3', 'NTSR1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'EPX', 'PCDHA6', 'PCDHA11', 'TRHR', 'TPTE', 'HTR1D', 'CDSN', 'PCDHGB1', 'UGT1A9', 'FLG2', 'PCDHGB4', 'KIR3DL1', 'SLC6A2', 'GP5', 'DBH', 'SLC45A2', 'INHBE', 'CACNG6', 'PCDH20', 'ARSF', 'TMEFF1', 'CEACAM8', 'TMEM132E', 'PTPRQ', 'SIRPG', 'ZP4', 'SLC26A5', 'PCDHGA9', 'SIGLEC12', 'LRFN1', 'PLA2G3', 'CD244', 'SLITRK3', 'PCDHA10', 'ELFN2', 'PCDHGB5', 'UNC5A', 'ALPP', 'PCDHGA8', 'KIR2DL3', 'CRLF2', 'COL2A1', 'KIR2DS4', 'AGTR2', 'TMPRSS5', 'CELSR3', 'TLR9', 'TNFSF18', 'CD101', 'FLRT1', 'ULBP3', 'C4A', 'CD6', 'IGLON5', 'LRRC15', 'MGAT5B', 'TMEM26', 'TYR', 'VSTM1', 'CDH15', 'TMEM63C', 'CCR4', 'RTN4R', 'PCDHGA12', 'ICAM5', 'NTRK1', 'SLC22A16', 'CD226', 'PRG2', 'PLXNB3', 'TNFRSF8', 'NMUR1', 'ADORA1', 'CD1B', 'IL1RL2', 'GPR39', 'TRBV12-3', 'HEPACAM', 'ELFN1', 'CHRNA3']"
skin melanocytes,"['DCT', 'TYRP1', 'TYR', 'BCAN', 'GPM6B', 'KIT', 'GPR155', 'GPNMB', 'SLC1A4', 'SLC6A15', 'PLXNC1', 'SLITRK2', 'L1CAM', 'CDH3', 'SLC45A2', 'CDH19', 'OSTM1', 'SIGLEC5', 'NXF2', 'PPIAL4A', 'NTN3', 'PCDHGC5', 'PCDHA11', 'EPX', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4', 'HTR1D', 'GP5', 'UGT1A9', 'PCDHGB1', 'TLR9', 'C4A', 'ABCC2', 'SLC6A2', 'ARSF', 'PLXNB3', 'CDSN', 'PCDHGB5', 'INHBE', 'NTSR1', 'CACNG6', 'SIGLEC12', 'DBH', 'PCDH20', 'PCDHA10', 'PCDHGA9', 'PTPRQ', 'CEACAM8', 'ZP4', 'FLRT1', 'SLITRK3', 'TMEM132E', 'IGSF1', 'SLC26A5', 'KIR3DL1', 'CPZ', 'TMPRSS5', 'ALPP', 'ELFN2', 'TNFSF18', 'UNC5A', 'KIR2DL3', 'CDH15', 'AGTR2', 'PCDHGA12', 'CELSR3', 'ADORA1', 'FLG2', 'TMEM26', 'PCDHGA8', 'COL2A1', 'MGAT5B', 'IGLON5', 'PLA2G3', 'SCN2B', 'TMEM63C', 'TLL2', 'ULBP3', 'NTRK1', 'VSTM1', 'CADM4', 'PCDHGB7', 'IGDCC4', 'DISP2', 'ELFN1', 'CHRNA3', 'SCNN1D', 'GPR39', 'KCNK17', 'ATG9A', 'ICAM5', 'ADAMTS15', 'SLC6A11', 'AMIGO1', 'HEPACAM', 'GRIK3']"
